Year, Value
1985,16822.51
1986,17321.82
1987,18426.51
1988,19334.04
1989,20099.55
1990,21027.98
1991,21811.6
1992,22935.42
1993,23132.67
1994,23753.53
1995,24705.66
1996,25913.9
1997,27426
1998,28861.44
1999,30469.84
2000,32154.82
2001,32921.92
2002,33252.09
2003,34064.95
2004,35648.55
2005,36952.94
2006,38651.41
2007,40405.48
2008,41334.97
2009,40711.61
2010,41673.83
2011,42979.61
2012,44321.67
2013,44888.16
2014,46481.52
2015,48098.63
2016,48642.15
2017,50321.89
2018,52145.8
2019,54099.99
2020,54099.99
2021,54099.99
