Year, Value
1990,127.4
1990,128
1990,128.7
1990,128.9
1990,129.2
1990,129.9
1990,130.4
1990,131.6
1990,132.7
1990,133.5
1990,133.8
1990,133.8
1991,134.6
1991,134.8
1991,135
1991,135.2
1991,135.6
1991,136
1991,136.2
1991,136.6
1991,137.2
1991,137.4
1991,137.8
1991,137.9
1992,138.1
1992,138.6
1992,139.3
1992,139.5
1992,139.7
1992,140.2
1992,140.5
1992,140.9
1992,141.3
1992,141.8
1992,142
1992,141.9
1993,142.6
1993,143.1
1993,143.6
1993,144
1993,144.2
1993,144.4
1993,144.4
1993,144.8
1993,145.1
1993,145.7
1993,145.8
1993,145.8
1994,146.2
1994,146.7
1994,147.2
1994,147.4
1994,147.5
1994,148
1994,148.4
1994,149
1994,149.4
1994,149.5
1994,149.7
1994,149.7
1995,150.3
1995,150.9
1995,151.4
1995,151.9
1995,152.2
1995,152.5
1995,152.5
1995,152.9
1995,153.2
1995,153.7
1995,153.6
1995,153.5
1996,154.4
1996,154.9
1996,155.7
1996,156.3
1996,156.6
1996,156.7
1996,157
1996,157.3
1996,157.8
1996,158.3
1996,158.6
1996,158.6
1997,159.1
1997,159.6
1997,160
1997,160.2
1997,160.1
1997,160.3
1997,160.5
1997,160.8
1997,161.2
1997,161.6
1997,161.5
1997,161.3
1998,161.6
1998,161.9
1998,162.2
1998,162.5
1998,162.8
1998,163
1998,163.2
1998,163.4
1998,163.6
1998,164
1998,164
1998,163.9
1999,164.3
1999,164.5
1999,165
1999,166.2
1999,166.2
1999,166.2
1999,166.7
1999,167.1
1999,167.9
1999,168.2
1999,168.3
1999,168.3
2000,168.8
2000,169.8
2000,171.2
2000,171.3
2000,171.5
2000,172.4
2000,172.8
2000,172.8
2000,173.7
2000,174
2000,174.1
2000,174
2001,175.1
2001,175.8
2001,176.2
2001,176.9
2001,177.7
2001,178
2001,177.5
2001,177.5
2001,178.3
2001,177.7
2001,177.4
2001,176.7
2002,177.1
2002,177.8
2002,178.8
2002,179.8
2002,179.8
2002,179.9
2002,180.1
2002,180.7
2002,181
2002,181.3
2002,181.3
2002,180.9
2003,181.7
2003,183.1
2003,184.2
2003,183.8
2003,183.5
2003,183.7
2003,183.9
2003,184.6
2003,185.2
2003,185
2003,184.5
2003,184.3
2004,185.2
2004,186.2
2004,187.4
2004,188
2004,189.1
2004,189.7
2004,189.4
2004,189.5
2004,189.9
2004,190.9
2004,191
2004,190.3
2005,190.7
2005,191.8
2005,193.3
2005,194.6
2005,194.4
2005,194.5
2005,195.4
2005,196.4
2005,198.8
2005,199.2
2005,197.6
2005,196.8
2006,198.3
2006,198.7
2006,199.8
2006,201.5
2006,202.5
2006,202.9
2006,203.5
2006,203.9
2006,202.9
2006,201.8
2006,201.5
2006,201.8
2007,202.416
2007,203.499
2007,205.352
2007,206.686
2007,207.949
2007,208.352
2007,208.299
2007,207.917
2007,208.49
2007,208.936
2007,210.177
2007,210.036
2008,211.08
2008,211.693
2008,213.528
2008,214.823
2008,216.632
2008,218.815
2008,219.964
2008,219.086
2008,218.783
2008,216.573
2008,212.425
2008,210.228
2009,211.143
2009,212.193
2009,212.709
2009,213.24
2009,213.856
2009,215.693
2009,215.351
2009,215.834
2009,215.969
2009,216.177
2009,216.33
2009,215.949
2010,216.687
2010,216.741
2010,217.631
2010,218.009
2010,218.178
2010,217.965
2010,218.011
2010,218.312
2010,218.439
2010,218.711
2010,218.803
2010,219.179
2011,220.223
2011,221.309
2011,223.467
2011,224.906
2011,225.964
2011,225.722
2011,225.922
2011,226.545
2011,226.889
2011,226.421
2011,226.23
2011,225.672
2012,226.665
2012,227.663
2012,229.392
2012,230.085
2012,229.815
2012,229.478
2012,229.104
2012,230.379
2012,231.407
2012,231.317
2012,230.221
2012,229.601
2013,230.28
2013,232.166
2013,232.773
2013,232.531
2013,232.945
2013,233.504
2013,233.596
2013,233.877
2013,234.149
2013,233.546
2013,233.069
2013,233.049
2014,233.916
2014,234.781
2014,236.293
2014,237.072
2014,237.9
2014,238.343
2014,238.25
2014,237.852
2014,238.031
2014,237.433
2014,236.151
2014,234.812
2015,233.707
2015,234.722
2015,236.119
2015,236.599
2015,237.805
2015,238.638
2015,238.654
2015,238.316
2015,237.945
2015,237.838
2015,237.336
2015,236.525
2016,236.916
2016,237.111
2016,238.132
2016,239.261
2016,240.229
2016,241.018
2016,240.628
2016,240.849
2016,241.428
2016,241.729
2016,241.353
2016,241.432
2017,242.839
2017,243.603
2017,243.801
2017,244.524
2017,244.733
2017,244.955
2017,244.786
2017,245.519
2017,246.819
2017,246.663
2017,246.669
2017,246.524
2018,247.867
2018,248.991
2018,249.554
2018,250.546
2018,251.588
2018,251.989
2018,252.006
2018,252.146
2018,252.439
2018,252.885
2018,252.038
2018,251.233
2019,251.712
2019,252.776
2019,254.202
2019,255.548
2019,256.092
2019,256.143
2019,256.571
2019,256.558
2019,256.759
2019,257.346
2019,257.208
2019,256.974
2020,257.971
2020,258.678
2020,258.115
2020,256.389
2020,256.394
2020,257.797
2020,259.101
2020,259.918
2020,260.28
2020,260.388
2020,260.229
2020,260.474
2021,261.582
2021,263.014
