year,fixed,xpi,xpi+1.0%,xpi+2.0%,www,www+1.0%,www+2.0%
1990,2.5,2.0,2.02,2.06,2.57,2.6,2.65
1991,2.43,1.92,1.94,1.98,2.48,2.5,2.55
1992,2.36,1.86,1.88,1.92,2.36,2.38,2.43
1993,2.29,1.81,1.83,1.86,2.34,2.36,2.41
1994,2.22,1.76,1.78,1.82,2.28,2.3,2.34
1995,2.16,1.72,1.73,1.77,2.19,2.21,2.25
1996,2.09,1.67,1.68,1.72,2.09,2.11,2.15
1997,2.03,1.63,1.64,1.68,1.97,1.99,2.03
1998,1.97,1.6,1.62,1.65,1.87,1.89,1.93
1999,1.92,1.57,1.58,1.62,1.78,1.79,1.83
2000,1.86,1.52,1.53,1.56,1.68,1.7,1.73
2001,1.81,1.48,1.49,1.52,1.64,1.66,1.69
2002,1.75,1.45,1.47,1.5,1.63,1.64,1.67
2003,1.7,1.42,1.43,1.46,1.59,1.6,1.63
2004,1.65,1.38,1.4,1.42,1.52,1.53,1.56
2005,1.6,1.34,1.35,1.38,1.46,1.48,1.51
2006,1.56,1.3,1.31,1.33,1.4,1.41,1.44
2007,1.51,1.26,1.27,1.3,1.34,1.35,1.38
2008,1.47,1.21,1.23,1.25,1.31,1.32,1.35
2009,1.43,1.22,1.23,1.25,1.33,1.34,1.37
2010,1.38,1.2,1.21,1.23,1.3,1.31,1.34
2011,1.34,1.16,1.17,1.2,1.26,1.27,1.3
2012,1.3,1.14,1.15,1.17,1.22,1.23,1.26
2013,1.27,1.12,1.13,1.16,1.21,1.22,1.24
2014,1.23,1.1,1.12,1.14,1.16,1.18,1.2
2015,1.19,1.1,1.11,1.14,1.12,1.14,1.16
2016,1.16,1.09,1.1,1.12,1.11,1.12,1.14
2017,1.13,1.07,1.08,1.1,1.08,1.09,1.11
2018,1.09,1.04,1.05,1.07,1.04,1.05,1.07
2019,1.06,1.02,1.03,1.05,1.0,1.01,1.03
2020,1.03,1.01,1.02,1.04,1.0,1.01,1.03
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0
