year,fixed,xpi,xpi+1.0%,xpi+2.0%,www,www+1.0%,www+2.0%
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,1.03,1.01,1.02,1.04,1.0,1.01,1.03
2019,1.0609,1.0224592024026946,1.0325592024026946,1.0529592024026946,1.0,1.01,1.0302
2018,1.092727,1.0409883110840605,1.0512129031080875,1.0718640871561413,1.0374755013826615,1.0474755013826615,1.0676755013826615
2017,1.1255088100000001,1.066415317693575,1.0768252008044155,1.0978494588665773,1.0750786586115904,1.085453413625417,1.1064029236530704
2016,1.1592740743,1.0891311370563241,1.09979529023326,1.1213317942493481,1.1122039219072346,1.1229547084933504,1.1446637767658587
2015,1.1940522965290001,1.1028714325695343,1.1137627439400977,1.135758649744763,1.124771952964149,1.1358939921832212,1.1583530863530882
2014,1.2298738654248702,1.104179737358818,1.1152084516845133,1.1374837065633152,1.1639032028212504,1.1751509223508918,1.1978688021945563
2013,1.2667700813876164,1.1220919947701384,1.1331337921437266,1.1554379611774168,1.2052173668958583,1.2168563989240708,1.2403594173710886
2012,1.304773183829245,1.1385287647357092,1.1497496846834105,1.172412360526285,1.2206216507636107,1.2326738244325692,1.2570109524110507
2011,1.3439163793441222,1.1620887647400966,1.1734740523874536,1.1964690460811218,1.2587361774571708,1.270942393964807,1.2955958704534585
2010,1.384233870724446,1.1987740659296984,1.2103949535770993,1.2338644346248484,1.2981765774827991,1.310763939257371,1.336182787136667
2009,1.4257608868461793,1.2184344813870491,1.230422222046346,1.254630121117888,1.328859015892518,1.3418407816673459,1.3680560604524934
2008,1.4685337134515648,1.2141023830811688,1.2262867278950393,1.2508951723359663,1.3088189007999762,1.3221074909589015,1.3489443065922484
2007,1.512589724855112,1.2607129912716846,1.2728540151024963,1.2973797496603972,1.338927046529332,1.3520152355373316,1.3784573853565096
2006,1.5579674166007653,1.2966770038444049,1.3092841337571217,1.3347412140591717,1.3996899466280788,1.4130792170933721,1.4401195218041187
2005,1.6047064390987884,1.3385070791551101,1.3514738491935543,1.3776595318686968,1.4640239721115558,1.4780208715778365,1.5062824559197039
2004,1.652847632271752,1.3839192358598782,1.3973043066514292,1.4243337836353003,1.5175930016788899,1.5322332414000055,1.5617936588315622
2003,1.7024330612399046,1.4209700294450738,1.4348092218036725,1.462755307936701,1.5881423574671327,1.6033182874839216,1.6339629523119217
2002,1.7535060530771018,1.4532273986564745,1.4674370989509253,1.4961332833869987,1.62696510204321,1.6428465256178815,1.67491289136756
2001,1.806111234669415,1.476276044804217,1.4908083187907817,1.5201570607698003,1.6432817405546214,1.6595513915750535,1.692408322087411
2000,1.8602945717094976,1.517998132017035,1.5327608924650773,1.562577058840893,1.682484616614243,1.6989174340197892,1.7321084618512903
1999,1.9161034088607827,1.569258762319276,1.5844387436394463,1.6150939614887478,1.7755258970838048,1.7923507432499473,1.826329091930343
1998,1.9735865111266062,1.6035945708297121,1.619287158452905,1.650975933325694,1.8744729992682279,1.892228258239066,1.928075273104065
1997,2.0327941064604045,1.62848683418129,1.644522779889587,1.6769085230586451,1.9725803981623276,1.9913251281550097,2.029169693319791
1996,2.0937779296542165,1.666555807034322,1.682840675376135,1.7157311309739267,2.0876822863405353,2.1074080903221586,2.1472345928852588
1995,2.1565912675438432,1.7154059608443621,1.7320715189147053,1.7657283324222282,2.189781208030872,2.2106580308942774,2.2528061927007204
1994,2.2212890055701586,1.7635302974082194,1.780684357016663,1.815325787394957,2.2775557990749165,2.2994536111552253,2.343666771773111
1993,2.2879276757372633,1.8095133198730897,1.8271486228471718,1.862762309987505,2.3386833426491624,2.361458900639912,2.4074479728630163
1992,2.3565655060093813,1.862923945836798,1.881019079035529,1.9175620514924725,2.3587965688005714,2.382183402227063,2.429412580239861
1991,2.4272624711896627,1.919348552897265,1.937977792355633,1.9755981739363435,2.4803311082176456,2.503919073905651,2.5515627419501925
1990,2.5000803453253524,2.0006322724663566,2.019825757995329,2.0585853138424417,2.5727621007819104,2.5975654118640867,2.6476437933422
